time;;;bed1;;;bed2;;;bed3;;;bed4;;;bed1_lp;;;bed2_lp;;;bed3_lp;;;bed4_lp;;;eq_left;;;ecg;;;meds;;;phone;;;people_together
31;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
32;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
33;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
34;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
35;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
36;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
37;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
38;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
39;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
40;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
41;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
42;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
43;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
44;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
45;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
46;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
47;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
48;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
49;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
50;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
51;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
52;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
53;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
54;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
55;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
56;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
57;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
58;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
59;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
60;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
61;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
62;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
63;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
64;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
65;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
66;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
67;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
68;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
69;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
70;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
71;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
72;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
73;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
74;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{1, 2}]
75;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
76;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
77;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
78;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
79;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
80;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
81;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
82;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
83;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
84;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
85;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
86;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
87;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
88;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
89;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
90;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
91;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
92;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
93;;;1;;;0;;;1;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1, 2}]
94;;;2;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[{0, 1}]
95;;;2;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
96;;;0;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;[]
97;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
98;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
99;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
100;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
101;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
102;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
103;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
104;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
105;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
106;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
107;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
108;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
109;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
110;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
111;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
112;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
113;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
114;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
115;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
116;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
117;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
118;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
119;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
120;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
121;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
122;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
123;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
124;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
125;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
126;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
127;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
128;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
129;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
130;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
131;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
132;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
133;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
134;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
135;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
136;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
137;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
138;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
139;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
140;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
141;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
142;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
143;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
144;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
145;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
146;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
147;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
148;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
149;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
150;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
151;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
152;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
153;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
154;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
155;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
156;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
157;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
158;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
159;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
160;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
161;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
162;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
163;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
164;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
165;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
166;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
167;;;0;;;1;;;1;;;0;;;0;;;1;;;0;;;0;;;0;;;1;;;0;;;0;;;[{0, 1, 2}]
168;;;0;;;1;;;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;[]
169;;;0;;;1;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
170;;;0;;;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;[]
171;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
172;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
173;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
174;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
175;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
176;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
177;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
178;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
179;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
180;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
181;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
182;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
183;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
184;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
185;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
186;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
187;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
188;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
189;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
190;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
191;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
192;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
193;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
194;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
195;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
196;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
197;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
198;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
199;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
200;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
201;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
202;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
203;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
204;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
205;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
206;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
207;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
208;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
209;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
210;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
211;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
212;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
213;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[]
214;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
215;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
216;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
217;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
218;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
219;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
220;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
221;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
222;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
223;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
224;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
225;;;0;;;0;;;1;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
226;;;0;;;0;;;1;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
227;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
228;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
229;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
230;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
231;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
232;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
233;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
234;;;0;;;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;1;;;0;;;0;;;[{0, 1}]
